method,path,description,auth,notes
POST,/auth/login,User login,NO,body: { email, password }
POST,/auth/refresh,Refresh tokens,NO,body: { refreshToken }
POST,/auth/logout,Logout,YES,
GET,/auth/me,Get current user,YES,
GET,/inventory/products,List products,YES,query: page,pageSize,search,category,status,fromDate,toDate,sort
GET,/inventory/products/:id,Get product detail,YES,includes units, images
POST,/inventory/products,Create product,YES,body: product payload
PUT,/inventory/products/:id,Update product,YES,body: partial product
DELETE,/inventory/products/:id,Delete product,YES,
DELETE,/inventory/products,Bulk delete,YES,body: { ids: [] }
POST,/inventory/products/:id/adjust-stock,Adjust product stock,YES,body: { delta, reason, reference }
GET,/inventory/products/:id/ledger,Product stock ledger,YES,query: from,to
GET,/inventory/transfers,List transfers,YES,query: status,from,to
POST,/inventory/transfers,Create transfer,YES,body: transfer payload
POST,/inventory/transfers/:id/approve,Approve transfer,YES,
POST,/inventory/transfers/:id/reject,Reject transfer,YES,
POST,/uploads,Upload file,YES,multipart/form-data
GET,/reports/inventory,Inventory reports,YES,query params vary
GET,/reports/ledger,Ledger reports,YES,query params vary
POST,/reports/generate,Generate report job,YES,body: { type, params }
POST,/uploads,Upload file,YES,multipart/form-data
DELETE,/uploads/:id,Delete upload,YES,
GET,/autocomplete/products,Product autocomplete,YES,query: q
POST,/inventory/products/:id/reserve,Reserve stock,YES,body: { quantity, orderId }
POST,/inventory/products/:id/release,Release reserved stock,YES,body: { quantity, orderId }
POST,/inventory/products/bulk-price-update,Bulk price update,YES,body: { items: [{ id, price }] }
POST,/inventory/import,Import products via CSV,YES,multipart/form-data
POST,/purchase/orders/:id/receive,Receive goods (GRN),YES,body: { items: [{ sku, qty, unitCost }] }
POST,/inventory/adjustments,Inventory adjustment,YES,body: { sku, delta, reason, reference }
POST,/inventory/audits/:id/start,Start audit session,YES,
POST,/inventory/audits/:id/complete,Complete audit session,YES,body: { lineItems: [...] }
GET,/inventory/stock-take/:id/report,Export stock take report,YES,query: format=pdf|csv
POST,/inventory/returns,Process customer return,YES,body: { orderId, items: [...] }
POST,/webhooks/register,Register webhook,YES,body: { url, events: [] }
GET,/notifications,List notifications,YES,query: unread=true|false
POST,/notifications/:id/read,Mark notification read,YES,
