file,key,type,attr
src\features\dashboard\pages\DashboardPage.tsx,"0",JSXAttribute,x1
src\features\dashboard\pages\DashboardPage.tsx,"0",JSXAttribute,y1
src\features\dashboard\pages\DashboardPage.tsx,"0",JSXAttribute,x2
src\features\inventory\components\InventorySettingsPanel.tsx,"0",JSXAttribute,min
src\features\reports\pages\CrmReportPage.tsx,"0",JSXAttribute,x1
src\features\reports\pages\CrmReportPage.tsx,"0",JSXAttribute,y1
src\features\reports\pages\CrmReportPage.tsx,"0",JSXAttribute,x2
src\features\reports\pages\CrmReportPage.tsx,"0",JSXAttribute,x1
src\features\reports\pages\CrmReportPage.tsx,"0",JSXAttribute,y1
src\features\reports\pages\CrmReportPage.tsx,"0",JSXAttribute,x2
src\features\reports\pages\SalesReportPage.tsx,"0",JSXAttribute,x1
src\features\reports\pages\SalesReportPage.tsx,"0",JSXAttribute,y1
src\features\reports\pages\SalesReportPage.tsx,"0",JSXAttribute,x2
src\features\reports\pages\SalesReportPage.tsx,"0",JSXAttribute,x1
src\features\reports\pages\SalesReportPage.tsx,"0",JSXAttribute,y1
src\features\reports\pages\SalesReportPage.tsx,"0",JSXAttribute,x2
src\features\system\pages\VatConfigPage.tsx,"0",JSXAttribute,min
src\features\crm\pages\FeedbackPage.tsx,"1",JSXAttribute,min
src\features\dashboard\pages\DashboardPage.tsx,"1",JSXAttribute,y2
src\features\inventory\pages\CombosPage.tsx,"1",JSXAttribute,min
src\features\inventory\pages\InventoryPage.tsx,"1",JSXText,
src\features\inventory\pages\InventoryPage.tsx,"1",JSXText,
src\features\purchase\pages\ImportReceiptsPage.tsx,"1",JSXAttribute,step
src\features\purchase\pages\PurchaseOrdersPage.tsx,"1",JSXAttribute,step
src\features\purchase\pages\SuppliersPage.tsx,"1",JSXAttribute,min
src\features\reports\pages\CrmReportPage.tsx,"1",JSXAttribute,y2
src\features\reports\pages\CrmReportPage.tsx,"1",JSXAttribute,y2
src\features\reports\pages\SalesReportPage.tsx,"1",JSXAttribute,y2
src\features\reports\pages\SalesReportPage.tsx,"1",JSXAttribute,y2
src\components\AI\AIAlerts.tsx,"2",JSXAttribute,strokeWidth
src\features\crm\pages\FeedbackPage.tsx,"5",JSXAttribute,max
src\features\hr\pages\RolesPage.tsx,"5",JSXAttribute,min
src\features\inventory\components\InventorySettingsPanel.tsx,"5",JSXText,
src\features\purchase\pages\SuppliersPage.tsx,"5",JSXAttribute,max
src\features\inventory\components\InventorySettingsPanel.tsx,"10",JSXText,
src\features\inventory\components\InventorySettingsPanel.tsx,"20",JSXText,
src\components\AI\AIAlerts.tsx,"24",JSXAttribute,width
src\components\AI\AIAlerts.tsx,"24",JSXAttribute,height
src\features\system\pages\VatConfigPage.tsx,"100",JSXAttribute,max
src\features\hr\pages\RolesPage.tsx,"1440",JSXAttribute,max
src\features\reports\pages\FinanceReportPage.tsx,"2023",JSXAttribute,value
src\features\reports\pages\FinanceReportPage.tsx,"2024",JSXAttribute,value
src\features\auth\api\mockAuthApi.ts,"123456",StringLiteral,
src\features\auth\api\mockAuthApi.ts,"123456",StringLiteral,
src\features\auth\api\mockAuthApi.ts,"123456",StringLiteral,
src\features\auth\api\mockAuthApi.ts,"123456",StringLiteral,
src\features\auth\pages\LoginPage.tsx,"123456",JSXText,
src\features\pos\pages\PosSessionsPage.tsx,"2000000",StringLiteral,
src\App.tsx,"system",StringLiteral,
src\shared\store\themeStore.ts,"system",StringLiteral,
src\shared\store\themeStore.ts,"system",StringLiteral,
src\shared\store\themeStore.ts,"system",StringLiteral,
src\App.tsx,"(prefers-color-scheme: dark)",StringLiteral,
src\shared\store\themeStore.ts,"(prefers-color-scheme: dark)",StringLiteral,
src\shared\store\themeStore.ts,"(prefers-color-scheme: dark)",StringLiteral,
src\App.tsx,"top-right",JSXAttribute,position
src\App.tsx,"top-right",StringLiteral,
src\components\AI\AIAlerts.tsx,"critical",StringLiteral,
src\components\AI\AIAlerts.tsx,"critical",StringLiteral,
src\components\AI\AIAlerts.tsx,"critical",StringLiteral,
src\components\AI\AIAlerts.tsx,"Hết hàng: Nước khoáng Lavie 500ml",StringLiteral,
src\components\AI\AIAlerts.tsx,"Sản phẩm đã hết hàng tại kho Quận 3. Dự kiến mất doanh thu 5tr/ngày.",StringLiteral,
src\components\AI\AIAlerts.tsx,"10 phút trước",StringLiteral,
src\components\AI\AIAlerts.tsx,"warning",StringLiteral,
src\components\AI\AIAlerts.tsx,"warning",StringLiteral,
src\components\AI\AIAlerts.tsx,"warning",StringLiteral,
src\components\AI\AIAlerts.tsx,"Doanh số chi nhánh giảm",StringLiteral,
src\components\AI\AIAlerts.tsx,"Cửa hàng Gò Vấp có doanh thu giảm 15% so với tuần trước. AI đề xuất chạy CTKM giảm giá 10%.",StringLiteral,
src\components\AI\AIAlerts.tsx,"1 giờ trước",StringLiteral,
src\features\dashboard\pages\DashboardPage.tsx,"1 giờ trước",StringLiteral,
src\components\AI\AIAlerts.tsx,"success",StringLiteral,
src\components\AI\AIAlerts.tsx,"success",StringLiteral,
src\components\AI\AIAlerts.tsx,"Đạt chỉ tiêu doanh thu",StringLiteral,
src\components\AI\AIAlerts.tsx,"Cửa hàng Tân Bình đã vượt KPI tuần sớm 2 ngày!",StringLiteral,
src\components\AI\AIAlerts.tsx,"3 giờ trước",StringLiteral,
src\components\AI\AIAlerts.tsx,"Dự báo nhu cầu",StringLiteral,
src\components\AI\AIAlerts.tsx,"Dự báo cuối tuần này nhu cầu Bia Heineken sẽ tăng gấp 3. Hãy chuẩn bị nhập thêm hàng.",StringLiteral,
src\components\AI\AIAlerts.tsx,"Hôm qua",StringLiteral,
src\features\reports\pages\CrmReportPage.tsx,"Hôm qua",StringLiteral,
src\components\AI\AIAlerts.tsx,"mousedown",StringLiteral,
